item_id,gold_index,Dialogue_act,n_flip_to_other,n_wrong,pred_42,pred_123,pred_2026,pred_7,pred_99,pred_777,pred_1234,pred_5555
H01,207,agree,8,8,disagree,disagree,disagree,disagree,disagree,disagree,disagree,disagree
H02,210,agree,7,8,disagree,disagree,disagree,disagree,disagree,disagree,disagree,question
H03,202,disagree,8,8,agree,agree,agree,agree,agree,agree,agree,agree
H04,100,disagree,6,6,agree,agree,disagree,agree,agree,agree,agree,disagree
H05,14,agree,8,8,disagree,disagree,disagree,disagree,disagree,disagree,disagree,disagree
H06,280,agree,7,8,disagree,disagree,disagree,question,disagree,disagree,disagree,disagree
H07,126,disagree,7,7,disagree,agree,agree,agree,agree,agree,agree,agree
H08,43,agree,7,7,disagree,disagree,agree,disagree,disagree,disagree,disagree,disagree
H09,278,agree,7,7,disagree,disagree,disagree,disagree,agree,disagree,disagree,disagree
H10,241,disagree,6,8,agree,agree,statement,agree,agree,statement,agree,agree
H11,185,disagree,8,8,agree,agree,agree,agree,agree,agree,agree,agree
H12,62,disagree,8,8,agree,agree,agree,agree,agree,agree,agree,agree
H13,213,disagree,8,8,agree,agree,agree,agree,agree,agree,agree,agree
H14,29,agree,8,8,disagree,disagree,disagree,disagree,disagree,disagree,disagree,disagree
H15,15,agree,7,8,statement,disagree,disagree,disagree,disagree,disagree,disagree,disagree
H16,90,disagree,6,6,agree,agree,disagree,agree,agree,agree,disagree,agree
H17,283,disagree,8,8,agree,agree,agree,agree,agree,agree,agree,agree
H18,36,agree,6,6,agree,disagree,disagree,disagree,agree,disagree,disagree,disagree
H19,67,disagree,6,6,disagree,agree,agree,agree,agree,disagree,agree,agree
H20,292,disagree,7,8,agree,agree,agree,agree,agree,statement,agree,agree
H21,34,disagree,6,6,agree,agree,disagree,agree,disagree,agree,agree,agree
H22,117,disagree,6,7,agree,agree,agree,agree,disagree,statement,agree,agree
H23,107,disagree,8,8,agree,agree,agree,agree,agree,agree,agree,agree
H24,191,disagree,8,8,agree,agree,agree,agree,agree,agree,agree,agree
H25,143,agree,7,8,disagree,disagree,disagree,disagree,disagree,disagree,statement,disagree
H26,171,agree,6,6,disagree,agree,disagree,disagree,disagree,disagree,agree,disagree
H27,211,agree,8,8,disagree,disagree,disagree,disagree,disagree,disagree,disagree,disagree
